# 2023-05-18T17:50:50
geo lon (deg), geo lat (deg), alt (km), mag lon (deg), mag lat (deg)
40.0, -70.0, 500.0, 73.26388549804688, -68.66819763183594
45.0, -70.0, 500.0, 76.5202865600586, -69.5635757446289
50.0, -70.0, 500.0, 79.84174346923828, -70.5064697265625
55.0, -70.0, 500.0, 83.25350952148438, -71.4968032836914
60.0, -70.0, 500.0, 86.78715515136719, -72.53321075439453
65.0, -70.0, 500.0, 90.48239135742188, -73.6129150390625
70.0, -70.0, 500.0, 94.38973236083984, -74.73162078857422
75.0, -70.0, 500.0, 98.5747299194336, -75.88336944580078
80.0, -70.0, 500.0, 103.12435913085938, -77.06035614013672
85.0, -70.0, 500.0, 108.15705108642578, -78.25250244140625
90.0, -70.0, 500.0, 113.83814239501953, -79.44674682617188
95.0, -70.0, 500.0, 120.40345764160156, -80.62564849853516
100.0, -70.0, 500.0, 128.19235229492188, -81.76488494873047
105.0, -70.0, 500.0, 137.68357849121094, -82.82894897460938
110.0, -70.0, 500.0, 149.49295043945312, -83.76455688476562
115.0, -70.0, 500.0, 164.1975555419922, -84.49398040771484
120.0, -70.0, 500.0, -178.24014282226562, -84.91963195800781
125.0, -70.0, 500.0, -159.23451232910156, -84.96040344238281
130.0, -70.0, 500.0, -141.19711303710938, -84.60794830322266
135.0, -70.0, 500.0, -125.82124328613281, -83.93370056152344
140.0, -70.0, 500.0, -113.36045837402344, -83.03561401367188
145.0, -70.0, 500.0, -103.29769134521484, -81.99496459960938
150.0, -70.0, 500.0, -95.00504302978516, -80.86741638183594
155.0, -70.0, 500.0, -87.97889709472656, -79.68894958496094
160.0, -70.0, 500.0, -81.8607177734375, -78.48295593261719
165.0, -70.0, 500.0, -76.40347290039062, -77.26516723632812
170.0, -70.0, 500.0, -71.4368896484375, -76.04661560058594
175.0, -70.0, 500.0, -66.84207153320312, -74.83535766601562
-180.0, -65.0, 500.0, -73.52037811279297, -69.82426452636719
-175.0, -65.0, 500.0, -68.6836929321289, -68.64906311035156
-170.0, -65.0, 500.0, -64.07361602783203, -67.4844970703125
